ID,Contenitore,Categoria,Lat,Long,LDCN,PRCD,Scheda_Chiesa,Numero opere,Link_StorieMemorie,Link_OrigineBologna,Link_BibSalaBorsa,Link_Wiki,Link_GenusBononiae,Link_CentroFasoli,Link_Archiginnasio,Link_Carisbo,Link_Beweb,Link_CatBBCC,Link_Chiese_ita,Link_ASP,Link_cittàmetr_BO,Link_portici di Bologna,Path
11,Basilica di S. Maria Maggiore,Basiliche e cattedrali,44.498047,11.341681,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Maria%20Maggiore&page=1&filtrolocalizzazione_OA=5412%7C379,,,5,,https://www.originebologna.com/strade/galliera/n-583/,,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64635/Basilica+di+Santa+Maria+Maggiore,,,,,https://portici.comune.bologna.it/la-serie/galliera/basilica-di-santa-maria-maggiore,
12,Basilica di S. Martino Maggiore,Basiliche e cattedrali,44.497085,11.346844,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Martino%20Maggiore&page=1&filtrolocalizzazione_OA=5412%7C6158,,https://catalogo.fondazionezeri.unibo.it/scheda/opera/120073/,41,https://www.storiaememoriadibologna.it/archivio/luoghi/basilica-di-san-martino,https://www.originebologna.com/strade/case-nuove-di-san-martino/n-1958/,,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64633/Basilica+di+San+Martino,,,,,,san-martino.jpg
13,Convento di S. Martino Maggiore,Conventi e monasteri,44.497085,11.346844,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=convento%20di%20s.%20martino%20maggiore&page=1&filtrolocalizzazione_OA=5412%7C6157,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=convento%20di%20s.%20martino%20maggiore&page=1&filtroprovenienza_OA=5412%7C4089,,8,,,,,,,,,,,,,,,
14,Oratorio di S. Martino,Oratori,44.497085,11.346844,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Oratorio%20di%20S.%20Martino&page=1&filtrolocalizzazione_OA=5412%7C1956,,,2,,,,,,,,,,,,,,,
15,Basilica di S. Paolo Maggiore,Basiliche e cattedrali,44.490901,11.340007,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Paolo%20Maggiore&page=1&filtrolocalizzazione_OA=5412%7C10010,,,45,,https://www.originebologna.com/strade/trebbo-dei-carbonesi/n-389/,https://www.bibliotecasalaborsa.it/bolognaonline/i-cartigli-di-bologna-edifici-storici-giardini-e-canali/place/chiesa-di-san-paolo-maggiore-5f378c,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64634/Basilica+di+San+Paolo+Maggiore,,,,,,
16,Basilica di S. Petronio,Basiliche e cattedrali,44.492719,11.343032,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Petronio&page=1&filtrolocalizzazione_OA=5412%7C3361,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Petronio&page=1&filtroprovenienza_OA=5412%7C3361,https://catalogo.fondazionezeri.unibo.it/scheda/opera/106787/,212,,https://www.originebologna.com/strade/piazza-maggiore-o-piazza-maggiore-nuova/basilica-di-san-petronio/,,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64630/Basilica+di+San+Petronio,,,,,https://portici.comune.bologna.it/la-serie/pavaglione-banchi-e-piazza-maggiore/basilica-di-san-petronio,san-petronio.jpg
17,Museo di S. Petronio,Musei,44.492719,11.343032,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Museo%20di%20S.%20Petronio&page=1&filtrolocalizzazione_OA=5412%7C561,,,76,,,,,,,,,,,,,,,
18,Basilica di S. Stefano,Basiliche e cattedrali,44.492011,11.348719,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Stefano&page=1&filtrolocalizzazione_OA=5412%7C2096,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Basilica%20di%20S.%20Stefano&page=1&filtroprovenienza_OA=5412%7C2207,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&SGTI_SGTT=nel+complesso+di+Santo+Stefano,48,https://www.storiaememoriadibologna.it/archivio/luoghi/basilica-di-santo-stefano,,,,,,,,,,,,,,santo-stefano.jpg
19,Convento di S. Stefano,Conventi e monasteri,44.492011,11.348719,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Stefano&page=1&filtrolocalizzazione_OA=5412%7C4205,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Convento%20di%20S.%20Stefano&page=1&filtroprovenienza_OA=5412%7C8303,,2,,,,,,,,,,,,,,,
20,Museo di S. Stefano,Musei,44.492011,11.348719,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Museo%20di%20S.%20Stefano&page=1&filtrolocalizzazione_OA=5412%7C3251,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Museo%20di%20S.%20Stefano&page=1&filtroprovenienza_OA=5412%7C3251,,47,,,,,,,,,,,,,,,
21,Cattedrale Metropolitana di S. Pietro,Basiliche e cattedrali,44.495721,11.343443,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20Metropolitana%20di%20S.%20Pietro&page=1&filtrolocalizzazione_OA=5412%7C7211,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20Metropolitana%20di%20S.%20Pietro&page=1&filtroprovenienza_OA=5412%7C7211,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&SGTI_SGTT=Cattedrale+Metropolitana+di+San+Pietro,45,https://www.storiaememoriadibologna.it/archivio/luoghi/cattedrale-di-s-pietro-di-bologna,,,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64632/Chiesa+di+San+Pietro+nella+Metropolitana,,,,,,san-pietro.jpg
22,Chiesa dei SS. Fabiano e Sebastiano,"Chiese, Non più esistente",44.495925884285676,11.340193720235488,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20dei%20SS.%20Fabiano%20e%20Sebastiano&page=1&filtroprovenienza_OA=5412%7C7469,,1,,https://www.originebologna.com/strade/battisasso/isola-della-chiesa-dei-ss-sebastiano-e-fabiano-e-della-croce-dei-martiri/,,,,,,,,,,,,,
23,Chiesa dei SS. Filippo e Giacomo (già delle Convertite),Chiese,44.501259,11.334254,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20dei%20SS.%20Filippo%20e%20Giacomo%20(gi%C3%A0%20delle%20Convertite)&page=1&filtrolocalizzazione_OA=5412%7C6227,https://catalogo.fondazionezeri.unibo.it/scheda/opera/57766/Carracci%20Ludovico%2C%20Madonna%20con%20Bambino%20in%20trono%20con%20san%20Francesco%20d%27Assisi%2C%20san%20Domenico%2C%20santa%20Maria%20Maddalena%20e%20la%20donatrice%20Cecilia%20Bargellini%20Boncompagni,,2,https://www.storiaememoriadibologna.it/archivio/luoghi/chiesa-dei-santi-filippo-e-giacomo,https://www.originebologna.com/strade/strada-delle-lamme/n-301-302-303/,,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64638/Chiesa+dei+Santi+Filippo+e+Giacomo,,,,,,
24,Chiesa dei SS. Gervasio e Protasio,"Chiese, Non più esistente",44.49611018954798,11.336585804889257,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20dei%20SS.%20Gervasio%20e%20Protasio&page=1&filtroprovenienza_OA=5412%7C7289,,1,,https://www.originebologna.com/strade/san-felice/n-94-95/,https://www.bibliotecasalaborsa.it/bolognaonline/cronologia-di-bologna/1798/il-convento-di-s-gervasio-diventa-una-sartoria,,,,,,,,,,,,
25,Chiesa dei SS. Gregorio e Siro,Chiese,44.496027,11.339352,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20dei%20SS.%20Gregorio%20e%20Siro&page=1&filtrolocalizzazione_OA=5412%7C9950,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20dei%20SS.%20Gregorio%20e%20Siro&page=1&filtroprovenienza_OA=5412%7C9950,,12,https://www.storiaememoriadibologna.it/archivio/luoghi/chiesa-di-san-gregorio-e-siro,,,,,,,,https://www.beweb.chiesacattolica.it/edificidiculto/edificio/64638/Chiesa+dei+Santi+Filippo+e+Giacomo,,,,,,
26,Chiesa dei SS. Ludovico e Alessio,"Chiese, Non più esistente",44.495407219338034,11.334009859955303,,https://catalogo.fondazionezeri.unibo.it/scheda/opera/57071/Carracci%20Annibale%2C%20Madonna%20con%20Bambino%20in%20gloria%2C%20san%20Ludovico%20di%20Tolosa%2C%20santa%20Chiara%2C%20san%20Francesco%20d%27Assisi%2C%20sant%27Alessio%2C%20san%20Giovanni%20Battista%20e%20santa%20Caterina%20d%27Alessandria,,1,,https://www.originebologna.com/strade/pratello/n-857-858/,,,,,,,,,,,,,
27,Chiesa dei SS. Naborre e Felice,Chiese,44.497332,11.334482,,https://catalogo.fondazionezeri.unibo.it/scheda/opera/57485/Gessi%20Francesco%2C%20San%20Francesco%20d%27Assisi%20riceve%20le%20stimmate,,2,,https://www.originebologna.com/strade/abbadia/n-376-1/,,,,,,,,,,,,,
28,Monastero dei SS. Naborre e Felice//La Badia,Conventi e monasteri,44.497332,11.334482,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Monastero%20dei%20SS.%20Naborre%20e%20Felice%2F%2FLa%20Badia&page=1&filtroprovenienza_OA=5412%7C8286,,5,,https://www.originebologna.com/strade/abbadia/n-376-1/,https://www.bibliotecasalaborsa.it/bolognaonline/i-cartigli-di-bologna-edifici-storici-giardini-e-canali/edifici-storici/ex-monastero-dei-ss-naborre-e-felice-detto-abbadia-cd0764,,,,,,,,,,,,
29,Cripta di S. Zama,Altri luoghi di culto,44.497332,11.334482,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Cripta%20di%20S.%20Zama&page=1&filtrolocalizzazione_OA=5412%7C4780,,https://catalogo.fondazionezeri.unibo.it/scheda/opera/121213/,3,,,,https://it.wikipedia.org/wiki/Cripta_di_San_Zama,,,,,,,,,,,san-zama.jpg
30,Chiesa dei SS. Sebastiano e Rocco,"Chiese, Non più esistente",44.4943875710231,11.35441875581721,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20dei%20SS.%20Sebastiano%20e%20Rocco&page=1&filtroprovenienza_OA=5412%7C8301,,1,,https://www.originebologna.com/strade/strada-san-vitale/n-137/,,,,,,,,,,,,,
